IDENTIFIKATOR_KLIJENTA,DOB,VRSTA_ZAPOSLENJA,CLV_SCORE,CHURN_RISK,FUTURE_POTENTIAL,PRIORITY_SCORE,SEGMENT,PREPORUCENA_AKCIJA,aktivnih_proizvoda,has_kredit,tenure_years,days_since_txn,prigovori_6m
Q2INDCPR6VX3,50,ZAPOSLEN,82.60994752882297,28.13394636467502,54.0,58.667060180958046,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,5.0,1.0,18.731506849315068,1.0,0.0
E3R6MZ5OP7Q1,60,ZAPOSLEN,53.26484114676925,53.747261417769764,54.0,58.64159896847714,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,0.0,16.687671232876713,27.0,0.0
TGFBJZ03G0Z4,28,ZAPOSLEN,85.88658244580023,19.20387944252822,63.0,58.49185563304137,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,8.0,1.0,10.558904109589042,1.0,0.0
JQ0AVCRHV3VX,25,ZAPOSLEN,78.88350338643862,26.5721772838241,59.0,57.98809709878316,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,5.0,1.0,10.693150684931506,5.0,0.0
3L0UXCNPSJPW,63,UMIROVLJENIK,71.96113239278706,60.95503566199582,13.5,57.9434106022738,SPASI,📞  Potrebna intervencija bankara,15.0,0.0,5.750684931506849,13.0,0.0
BELZPH28ZESS,66,UMIROVLJENIK,62.088526289415114,68.22222222222223,15.5,57.89487309018418,SPASI,📞  Potrebna intervencija bankara,3.0,0.0,19.4986301369863,37.0,0.0
SE7AYC4EVOCE,61,ZAPOSLEN,99.01149210501728,16.22188962613114,46.0,57.642778087208505,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,11.0,1.0,26.424657534246574,0.0,0.0
WK0O87D9AQQV,28,ZAPOSLEN,79.61625867498749,22.381908308496712,63.0,57.56845385964431,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,1.0,10.575342465753424,2.0,0.0
U0GUOUWAX6J4,41,ZAPOSLEN,93.48687283939083,13.51957727346126,57.0,57.378236403171286,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,10.224657534246575,2.0,0.0
DUYEX8J7OUIM,39,ZAPOSLEN,46.809679942026975,44.0,52.0,56.98338797970944,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,0.0,14.476712328767123,78.0,1.0
UKRLYXS154BF,34,ZAPOSLEN,69.98645239652434,16.61843412318653,83.0,56.89263198805813,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,0.0,10.432876712328767,0.0,0.0
ZV3A79H8VNKR,30,ZAPOSLEN,78.24322728529144,19.147162084768787,67.0,56.79399438375952,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,1.0,10.547945205479452,1.0,0.0
O12CCPXQPOSW,39,ZAPOSLEN,85.9964495935719,17.456773777800166,58.0,56.58146686887023,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,1.0,17.583561643835615,2.0,0.0
V2D4GM98BVA2,25,ZAPOSLEN,64.05401408887701,28.59909200493681,69.0,56.10854173308168,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,0.0,10.635616438356164,0.0,0.0
UA4TQAJL716E,27,ZAPOSLEN,88.68214188727069,15.639416248085999,55.0,56.044516159779135,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,11.0,1.0,24.43013698630137,0.0,0.0
VFR8QXZHC8ND,50,ZAPOSLEN,89.65430253200037,15.290513882598903,54.0,55.99521143923969,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,8.0,1.0,28.30958904109589,1.0,0.0
V0RC64AQ05S5,38,ZAPOSLEN,77.19378679341843,28.760224590276962,49.0,55.77191521380723,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,10.635616438356164,1.0,0.0
ICPU2XENRLRO,28,ZAPOSLEN,36.90953251502821,72.22222222222223,55.0,55.557225269148766,SPASI PRIORITET,🚨  Potrebna hitna intervencija bankara,8.0,0.0,6.997260273972603,55.0,0.0
YZZ4X3SZ9WUE,24,ZAPOSLEN,68.20015203720097,20.701856271847305,73.0,55.40079572175926,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,0.0,17.693150684931506,1.0,0.0
47ANV3SAP5VJ,54,ZAPOSLEN,65.204148369616,37.66474807923527,50.0,55.387351161059705,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,3.0,0.0,27.827397260273973,0.0,0.0
B806V8SGFW0K,56,ZAPOSLEN,83.3990469961693,18.99187335389843,54.0,55.286415790218626,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,12.0,1.0,9.967123287671233,2.0,0.0
9E3JF9YN3KHL,57,ZAPOSLEN,92.00373693962453,13.418145146542141,50.0,55.06856598748544,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,11.0,1.0,10.224657534246575,0.0,0.0
XS6SIG3BGCI1,41,ZAPOSLEN,31.420853570089214,72.44444444444444,60.0,54.975076527309,SPASI PRIORITET,🚨  Potrebna hitna intervencija bankara,2.0,0.0,18.13972602739726,56.0,0.0
1HGMVYOAQBAG,58,ZAPOSLEN,82.58257490871071,30.77711753077146,35.0,54.96474823035733,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,13.0,1.0,29.526027397260275,4.0,0.0
HR41598038BR,37,ZAPOSLEN,59.139190824645105,45.0,65.0,54.94871678862579,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,1.0,3.4136986301369863,57.0,0.0
HM5HP3APJAEC,39,PODUZETNIK,37.8867008222408,56.207922117424424,76.0,54.74351413475405,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,4.0,0.0,10.66027397260274,8.0,0.0
FA12M3B2Q9DB,31,ZAPOSLEN,87.0202472013245,2.45436507936508,73.0,54.688832552209604,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,5.0,1.0,13.868493150684932,1.0,0.0
3JROHU2DNQXY,39,ZAPOSLEN,83.54480052321779,1.0842911877394625,80.0,54.67439665822201,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,10.394520547945206,1.0,0.0
2AVEPGBN29AG,40,NEZAPOSLEN,79.32606355986158,18.406164779078406,58.0,54.626588157582916,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,10.389041095890411,2.0,0.0
X607UK7P00QH,44,ZAPOSLEN,79.22194964950111,13.502930226144512,65.0,54.37885446778319,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,1.0,8.882191780821918,0.0,0.0
7H5JWZL8GQ9Z,38,ZAPOSLEN,83.60272820704475,0.0,80.0,54.26095487246566,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,9.0,1.0,10.564383561643835,0.0,0.0
GXH3LD5OC9CO,53,ZAPOSLEN,78.3826964402504,11.242095323473878,69.0,54.180781883477195,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,0.0,24.58082191780822,1.0,0.0
9WHOT077QPN4,82,UMIROVLJENIK,72.1773540745402,51.312926967322866,13.5,54.16224471301822,ODRŽAVAJ,📱  Loyalty nagrada putem aplikacije,6.0,0.0,26.561643835616437,8.0,0.0
PD2ITL0F2K0Z,73,UMIROVLJENIK,95.3685882462861,29.682159548809903,15.5,54.1268697057241,ODRŽAVAJ,📱  Loyalty nagrada putem aplikacije,19.0,1.0,15.742465753424657,0.0,0.0
4CLZ8CWDZBFV,36,ZAPOSLEN,76.87797813697094,16.793646084097368,62.0,54.124750781578776,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,1.0,1.3178082191780822,2.0,0.0
SLEAX4UK9941,28,ZAPOSLEN,34.049610053485566,52.22222222222222,84.0,53.80625240760884,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,0.0,12.515068493150684,55.0,0.0
RL3AXUJ803AV,49,ZAPOSLEN,66.39150776283734,23.719767899083813,64.0,53.72493487662659,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,0.0,27.9013698630137,0.0,0.0
PV4YD2E5D6EE,44,ZAPOSLEN,86.46086472474816,7.92194445660618,61.0,53.68008043630432,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,10.263013698630138,0.0,0.0
6EUFR8ZRA0F0,38,ZAPOSLEN,77.98554381654723,16.86415695927321,58.0,53.540603119500815,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,10.682191780821919,0.0,0.0
XIGFFY6XJW9C,31,ZAPOSLEN,68.79046194465143,37.333333333333336,58.0,53.50999501396133,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,19.887671232876713,78.0,0.0
865IEBSWOC5Q,26,ZAPOSLEN,83.53919461833131,11.201334437649923,59.0,53.46925189147593,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,9.0,1.0,10.378082191780821,8.0,0.0
2JBV1TXWGFNG,28,ZAPOSLEN,85.71664094162304,6.730128326873611,63.0,53.442875660317505,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,8.0,1.0,10.490410958904109,0.0,0.0
GQBJK4JKGDOV,29,ZAPOSLEN,83.59712230215827,8.429855521263914,63.0,53.380935014260956,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,8.0,1.0,10.547945205479452,0.0,0.0
H0B3KRG1CQXG,51,ZAPOSLEN,75.7326524523447,32.74890682811974,35.0,53.35599108956854,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,8.0,1.0,27.80821917808219,0.0,0.0
JTKQH3ZDQFPD,48,ZAPOSLEN,92.22826935719853,13.935905084137598,42.0,53.35425630867452,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,26.517808219178082,1.0,0.0
1QW4NV4ND2QU,50,ZAPOSLEN,89.09700227597983,8.776462517976288,54.0,53.19453580378345,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,9.0,1.0,28.512328767123286,0.0,0.0
1C9NA8LX0D37,39,ZAPOSLEN,87.56074999675113,6.113624015991441,60.0,53.09171210525947,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,12.0,1.0,13.934246575342465,0.0,0.0
XRDMDA1864MY,57,ZAPOSLEN,33.55011006494955,59.9859882802547,69.0,52.986933834834225,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,3.0,0.0,24.695890410958903,14.0,0.0
M0DG3HUXH2XZ,29,ZAPOSLEN,83.62048023918527,7.297693920335431,63.0,52.93624565184901,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,10.616438356164384,1.0,0.0
6DPZ75SSX2U9,30,ZAPOSLEN,80.0,4.194146796422913,73.0,52.92765871856916,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,0.0,29.372602739726027,0.0,0.0
RPYLKYW6K9M9,37,ZAPOSLEN,74.50434457628702,11.301499673059592,69.0,52.847120470924295,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,5.0,1.0,4.83013698630137,1.0,0.0
KGTGRDAKPWXG,65,UMIROVLJENIK,70.93764375164336,47.71948930971732,15.5,52.790971036962105,ODRŽAVAJ,📱  Loyalty nagrada putem aplikacije,6.0,0.0,26.736986301369864,4.0,0.0
IK0MVMTKNXUS,42,ZAPOSLEN,89.88717902692234,5.751890591318573,56.0,52.761268895950245,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,12.293150684931506,0.0,0.0
EAE0DQ3UWMT9,45,ZAPOSLEN,84.74633280388676,16.174692038149807,46.0,52.631093296620286,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,12.0,1.0,13.917808219178083,1.0,0.0
QKL0J9LLFCFH,62,ZAPOSLEN,79.48986265533028,18.25354209662841,50.0,52.622868768016964,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,13.0,0.0,27.827397260273973,0.0,0.0
6R5MTRYGWCYQ,19,NEZAPOSLEN,57.340096968718456,38.02386434559655,49.0,52.52857967729008,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,5.0,0.0,10.394520547945206,10.0,0.0
FZDJNQR9IKXH,72,UMIROVLJENIK,69.74767580184349,48.085702522089434,15.5,52.52096753948099,ODRŽAVAJ,📱  Loyalty nagrada putem aplikacije,5.0,0.0,26.583561643835615,10.0,0.0
E0HNWPVINIY3,39,ZAPOSLEN,70.35916393724017,7.8339971161917585,79.0,52.509306224510766,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,0.0,18.19178082191781,0.0,0.0
0WC35W1F6RWV,90,UMIROVLJENIK,46.76877384120969,69.11111111111111,13.5,52.388515288867836,SPASI,📞  Potrebna intervencija bankara,4.0,0.0,27.53972602739726,41.0,0.0
4AL4FFLJFWSU,54,ZAPOSLEN,75.71404500304656,9.050037651876867,69.0,52.36993081181704,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,8.0,0.0,25.865753424657534,0.0,0.0
RURIE82IIBV0,34,ZAPOSLEN,53.556012332990754,45.0,62.0,52.24460431654676,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,5.0,1.0,2.0493150684931507,36.0,0.0
LYG65BGUP0AX,57,UMIROVLJENIK,71.1678968513501,46.02964175639226,15.5,52.19562060052944,ODRŽAVAJ,📱  Loyalty nagrada putem aplikacije,5.0,0.0,24.36986301369863,8.0,0.0
CZDKNOGXQK9Q,37,ZAPOSLEN,79.79663862403311,13.968439443335246,54.0,52.016199295745686,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,8.0,1.0,10.654794520547945,0.0,0.0
ZNE5SDX96HTD,77,UMIROVLJENIK,45.68315953593192,69.11111111111111,13.5,52.008550282020614,SPASI,📞  Potrebna intervencija bankara,4.0,0.0,26.057534246575344,41.0,0.0
HCK80VVRUNZA,46,ZAPOSLEN,64.63281213174756,16.33243336368311,71.0,51.90445759158489,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,0.0,18.432876712328767,1.0,0.0
C4L3GBCREC57,48,ZAPOSLEN,88.166774497627,4.391399183095546,57.0,51.86493074740767,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,12.0,1.0,10.241095890410959,0.0,0.0
1DTCM3Z5D69G,50,ZAPOSLEN,69.27602712322228,9.632689598497299,75.0,51.84968533252672,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,8.0,0.0,28.726027397260275,0.0,0.0
L44EZQ4NQWO4,45,ZAPOSLEN,59.51951391371413,30.00172414325988,56.0,51.8325195271039,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,5.0,0.0,16.263013698630136,6.0,0.0
FDTI4FRH13T4,29,ZAPOSLEN,71.71913426823079,10.278640644036084,70.0,51.713153251495214,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,4.0,1.0,10.621917808219179,7.0,0.0
BKHKQ9DDZDD3,51,ZAPOSLEN,83.45790899747735,21.814154476008994,35.0,51.68592993952067,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,9.0,1.0,10.139726027397261,1.0,0.0
V49E12IGIJZX,46,ZAPOSLEN,79.9621645668815,15.420401905203237,50.0,51.654918360489816,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,1.0,20.197260273972603,7.0,0.0
YA5MTRIYKI4H,89,UMIROVLJENIK,72.01345417172756,45.161909898387954,13.5,51.64447291945983,ODRŽAVAJ,📱  Loyalty nagrada putem aplikacije,5.0,0.0,26.84931506849315,0.0,0.0
OET6KORJALQV,48,ZAPOSLEN,93.35046218537946,3.673145433895033,50.0,51.64191993844082,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,1.0,26.364383561643837,0.0,0.0
Z5WF4UNCM26P,51,ZAPOSLEN,71.9289986835332,10.516405401970255,69.0,51.631711700024724,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,0.0,10.219178082191782,0.0,0.0
KJ9PKQ3OS1LE,51,ZAPOSLEN,89.91544426796226,9.05596296910293,46.0,51.592790681427964,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,1.0,10.224657534246575,0.0,0.0
ZP5CVW4M37VJ,50,ZAPOSLEN,36.80828045776404,58.8622362292625,60.0,51.42779265192242,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,5.0,0.0,6.079452054794521,20.0,0.0
DWT60SVVM3WR,39,ZAPOSLEN,76.33373820424181,12.899884277463832,58.0,51.376762082470165,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,5.0,1.0,10.194520547945206,0.0,0.0
LHCPYAOORCSV,50,ZAPOSLEN,83.29821335890321,9.11179012360526,54.0,51.29909072505823,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,11.0,1.0,18.60821917808219,0.0,0.0
RCGJ8OZLYE3E,50,ZAPOSLEN,80.0,8.114789635749899,60.0,51.24591585429996,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,8.0,0.0,29.93972602739726,1.0,0.0
L4HAVVYN1QC9,50,ZAPOSLEN,92.09195195033729,6.153252866105284,46.0,51.19348432906016,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,1.0,25.008219178082193,0.0,0.0
91OK5KFA0PO5,38,ZAPOSLEN,71.92596828229574,21.213852290103347,50.0,51.15962981484485,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,0.0,27.827397260273973,0.0,0.0
SH8OBF0ADJUZ,48,ZAPOSLEN,56.080103413667715,45.0,54.0,51.128036194783704,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,12.652054794520549,55.0,0.0
UT6NMZS4TW4J,71,UMIROVLJENIK,71.27637554210084,44.4003097947268,13.5,51.08185535762601,ODRŽAVAJ,📱  Loyalty nagrada putem aplikacije,5.0,0.0,26.424657534246574,5.0,0.0
LWWXXY2E4CZI,51,NEZAPOSLEN,48.276651406147806,69.77777777777777,25.0,51.05793910326284,SPASI,📞  Potrebna intervencija bankara,4.0,0.0,26.364383561643837,44.0,0.0
A15JCTSLYMII,59,ZAPOSLEN,64.29235517013224,15.65599101200894,69.0,51.014720714349856,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,0.0,28.432876712328767,2.0,0.0
HT3HPLOKKUXF,67,UMIROVLJENIK,84.67248967487438,31.70069009389077,14.5,50.94064742376234,ODRŽAVAJ,📱  Loyalty nagrada putem aplikacije,6.0,1.0,28.854794520547944,0.0,0.0
L01GBATZMGEJ,90,UMIROVLJENIK,42.52952333009406,69.11111111111111,13.5,50.904777609977366,SPASI,📞  Potrebna intervencija bankara,2.0,0.0,30.306849315068494,41.0,0.0
4QEFFOMEGH13,30,ZAPOSLEN,35.01355392392177,31.40672329251413,84.0,50.81743319037827,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,3.0,0.0,8.257534246575343,9.0,0.0
S70ZX948F6SM,46,ZAPOSLEN,78.44506787182458,12.013884605505517,54.0,50.76132759734081,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,1.0,10.252054794520548,1.0,0.0
0X0UCK3EATBZ,29,ZAPOSLEN,84.84621616888047,0.41585885588623306,63.0,50.61251920146266,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,1.0,15.295890410958904,0.0,0.0
W6XW06586FUA,46,ZAPOSLEN,64.16602905180791,10.924688391329871,75.0,50.57798552466471,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,0.0,10.252054794520548,0.0,0.0
NYGCRG7FEYT7,25,ZAPOSLEN,79.52272734450287,4.925408523181976,63.0,50.55311797984879,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,8.0,1.0,10.389041095890411,1.0,0.0
DAO1CCA1KD8P,55,ZAPOSLEN,71.63950781334,7.934074919905726,69.0,50.497457702631294,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,0.0,29.49041095890411,0.0,0.0
4JXO2SVPMGZM,75,UMIROVLJENIK,53.96804634214706,69.33333333333334,15.5,50.49714955308481,SPASI,📞  Potrebna intervencija bankara,11.0,0.0,11.635616438356164,42.0,0.0
AGSJ90E2EFTM,20,ZAPOSLEN,31.813368057739382,51.491103128850995,55.0,50.48112007174918,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,2.0,0.0,10.317808219178081,4.0,0.0
1KSGLO1GRH4L,64,UMIROVLJENIK,66.8470070830622,45.38796381401764,15.5,50.42663800467882,ODRŽAVAJ,📱  Loyalty nagrada putem aplikacije,6.0,0.0,25.232876712328768,0.0,0.0
363IZT3H321N,56,ZAPOSLEN,25.68440613837981,72.22222222222223,50.0,50.378431037321825,SPASI PRIORITET,🚨  Potrebna hitna intervencija bankara,6.0,0.0,5.2465753424657535,55.0,0.0
Y7OOBCHV6U3E,45,ZAPOSLEN,80.30339933082459,7.50579085518897,57.0,50.35850610786419,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,1.0,3.243835616438356,0.0,0.0
MHKCBUH34KY4,58,ZAPOSLEN,93.58777912734747,2.743956954624477,46.0,50.353305476421404,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,11.0,1.0,10.520547945205479,0.0,0.0
DU4DFLU4931J,55,ZAPOSLEN,83.78861236473077,16.866326405665493,37.0,50.322544889921964,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,8.0,1.0,26.43013698630137,3.0,0.0
JJ8U3O5G9KH4,72,UMIROVLJENIK,86.33560683920396,28.02032796502472,15.5,50.30059357973127,ODRŽAVAJ,📱  Loyalty nagrada putem aplikacije,5.0,1.0,10.2,0.0,0.0
Z9ZFZJVKCSPA,66,UMIROVLJENIK,51.83873680276558,67.11111111111111,21.0,50.238002325412396,SPASI,📞  Potrebna intervencija bankara,8.0,0.0,5.391780821917808,32.0,0.0
UL6KNVFH91JH,60,ZAPOSLEN,79.11601961771919,16.973003417530595,43.0,50.22980823321395,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,30.339726027397262,0.0,0.0
0LS2WFMJCN7E,89,UMIROVLJENIK,76.24264224983649,33.23114336052352,21.0,50.22738213165218,ODRŽAVAJ,📱  Loyalty nagrada putem aplikacije,6.0,0.0,28.778082191780822,13.0,0.0
ZLTFTM9EHGNF,86,UMIROVLJENIK,40.44524390672541,69.11111111111111,13.5,50.17527981179834,SPASI,📞  Potrebna intervencija bankara,2.0,0.0,23.10958904109589,41.0,0.0
J4ZZGT1W68M9,82,UMIROVLJENIK,63.58471910240464,44.133342102337394,21.0,50.15798852677658,ODRŽAVAJ,📱  Loyalty nagrada putem aplikacije,4.0,0.0,20.8,10.0,0.0
