IDENTIFIKATOR_KLIJENTA,DOB,VRSTA_ZAPOSLENJA,SEGMENT,PRIORITY_SCORE,CLV_SCORE,CHURN_RISK,FUTURE_POTENTIAL,RANG_PONUDE,PROIZVOD,RAZLOG,ZARADA_BANKE,KANAL,PONUDA_SCORE
T4F14HJ9HYSF,33,ZAPOSLEN,RAZVIJAJ PREMIUM,63.3,86.4,34.0,58.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
5BV3B5T1W368,25,ZAPOSLEN,SPASI PRIORITET,62.6,41.2,68.0,84.0,1,Intervencija bankara — osobni poziv,"Klijent 8 god. u HPB-u, CLV 41 — visoki churn rizik, potreban osobni kontakt",Retencija visoko vrijednog klijenta,Osobni poziv / sastanak u poslovnici,100
5BV3B5T1W368,25,ZAPOSLEN,SPASI PRIORITET,62.6,41.2,68.0,84.0,2,Kredit — ponuda po mjeri,"Prihodi 4,754€/mj., bez aktivnog kredita — personalna kreditna ponuda kao retencijski alat",Dugoročni kreditni prihod,Osobni savjetnik,59
U8BT04CPPO69,54,ZAPOSLEN,RAZVIJAJ PREMIUM,59.9,91.9,28.2,46.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
LXQZ9Z6OTP7N,30,ZAPOSLEN,RAZVIJAJ PREMIUM,59.8,71.0,22.3,84.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
5L0N1GF3HVQ4,45,PODUZETNIK,RAZVIJAJ PREMIUM,59.8,81.4,20.8,72.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
LXQZ9Z6OTP7N,30,ZAPOSLEN,RAZVIJAJ PREMIUM,59.8,71.0,22.3,84.0,2,Hipotekarni kredit,"Stabilan klijent 18 god., prihodi 11,687€/mj.",Kamate 20-30 god.,Osobni savjetnik,84
5L0N1GF3HVQ4,45,PODUZETNIK,RAZVIJAJ PREMIUM,59.8,81.4,20.8,72.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 2,198€",Stabilizacija pasive,HPB mobilna aplikacija,77
LXQZ9Z6OTP7N,30,ZAPOSLEN,RAZVIJAJ PREMIUM,59.8,71.0,22.3,84.0,3,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 4,326€",Stabilizacija pasive,HPB mobilna aplikacija,83
PVKTHSO5UZHT,50,ZAPOSLEN,RAZVIJAJ PREMIUM,59.5,93.3,16.6,61.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
PVKTHSO5UZHT,50,ZAPOSLEN,RAZVIJAJ PREMIUM,59.5,93.3,16.6,61.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 15,457€",Stabilizacija pasive,HPB mobilna aplikacija,83
HFQZ0BJ1S9W2,47,ZAPOSLEN,RAZVIJAJ PREMIUM,59.4,53.1,51.9,60.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
HFQZ0BJ1S9W2,47,ZAPOSLEN,RAZVIJAJ PREMIUM,59.4,53.1,51.9,60.0,2,Hipotekarni kredit,"Stabilan klijent 18 god., prihodi 1,876€/mj.",Kamate 20-30 god.,Osobni savjetnik,40
HO22A935ZQRI,44,ZAPOSLEN,RAZVIJAJ PREMIUM,59.3,90.7,30.8,41.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
QR90EYF7K2LO,26,ZAPOSLEN,RAZVIJAJ PREMIUM,59.2,73.5,28.0,69.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
QR90EYF7K2LO,26,ZAPOSLEN,RAZVIJAJ PREMIUM,59.2,73.5,28.0,69.0,2,Hipotekarni kredit,"Stabilan klijent 10 god., prihodi 200,343€/mj.",Kamate 20-30 god.,Osobni savjetnik,84
0UH0HNGRHTJK,36,SAMOZAPOSLEN,RAZVIJAJ PREMIUM,59.1,83.5,23.9,61.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
2BWZJWT5N14K,40,ZAPOSLEN,RAZVIJAJ PREMIUM,59.1,100.0,4.5,69.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
2BWZJWT5N14K,40,ZAPOSLEN,RAZVIJAJ PREMIUM,59.1,100.0,4.5,69.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 11,366€",Stabilizacija pasive,HPB mobilna aplikacija,83
8WHKBFZZ3J18,46,ZAPOSLEN,RAZVIJAJ PREMIUM,59.0,77.5,33.5,54.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
Q2INDCPR6VX3,50,ZAPOSLEN,RAZVIJAJ PREMIUM,58.7,82.6,28.1,54.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
Q2INDCPR6VX3,50,ZAPOSLEN,RAZVIJAJ PREMIUM,58.7,82.6,28.1,54.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 4,129€",Stabilizacija pasive,HPB mobilna aplikacija,83
E3R6MZ5OP7Q1,60,ZAPOSLEN,RAZVIJAJ PREMIUM,58.6,53.3,53.7,54.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
TGFBJZ03G0Z4,28,ZAPOSLEN,RAZVIJAJ PREMIUM,58.5,85.9,19.2,63.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
JQ0AVCRHV3VX,25,ZAPOSLEN,RAZVIJAJ PREMIUM,58.0,78.9,26.6,59.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
JQ0AVCRHV3VX,25,ZAPOSLEN,RAZVIJAJ PREMIUM,58.0,78.9,26.6,59.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 2,060€",Stabilizacija pasive,HPB mobilna aplikacija,49
3L0UXCNPSJPW,63,UMIROVLJENIK,SPASI,57.9,72.0,61.0,13.5,1,Intervencija bankara — osobni poziv,"Klijent 6 god. u HPB-u, CLV 72 — visoki churn rizik, potreban osobni kontakt",Retencija visoko vrijednog klijenta,Osobni poziv / sastanak u poslovnici,100
BELZPH28ZESS,66,UMIROVLJENIK,SPASI,57.9,62.1,68.2,15.5,1,Intervencija bankara — osobni poziv,"Klijent 19 god. u HPB-u, CLV 62 — visoki churn rizik, potreban osobni kontakt",Retencija visoko vrijednog klijenta,Osobni poziv / sastanak u poslovnici,100
SE7AYC4EVOCE,61,ZAPOSLEN,RAZVIJAJ PREMIUM,57.6,99.0,16.2,46.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
WK0O87D9AQQV,28,ZAPOSLEN,RAZVIJAJ PREMIUM,57.6,79.6,22.4,63.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
SE7AYC4EVOCE,61,ZAPOSLEN,RAZVIJAJ PREMIUM,57.6,99.0,16.2,46.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 19,315€",Stabilizacija pasive,HPB mobilna aplikacija,83
U0GUOUWAX6J4,41,ZAPOSLEN,RAZVIJAJ PREMIUM,57.4,93.5,13.5,57.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
U0GUOUWAX6J4,41,ZAPOSLEN,RAZVIJAJ PREMIUM,57.4,93.5,13.5,57.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 11,637€",Stabilizacija pasive,HPB mobilna aplikacija,79
DUYEX8J7OUIM,39,ZAPOSLEN,RAZVIJAJ PREMIUM,57.0,46.8,44.0,52.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
DUYEX8J7OUIM,39,ZAPOSLEN,RAZVIJAJ PREMIUM,57.0,46.8,44.0,52.0,2,Hipotekarni kredit,"Stabilan klijent 14 god., prihodi 9,035€/mj.",Kamate 20-30 god.,Osobni savjetnik,84
DUYEX8J7OUIM,39,ZAPOSLEN,RAZVIJAJ PREMIUM,57.0,46.8,44.0,52.0,3,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 4,712€",Stabilizacija pasive,HPB mobilna aplikacija,73
UKRLYXS154BF,34,ZAPOSLEN,RAZVIJAJ PREMIUM,56.9,70.0,16.6,83.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
UKRLYXS154BF,34,ZAPOSLEN,RAZVIJAJ PREMIUM,56.9,70.0,16.6,83.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 31,881€",Stabilizacija pasive,HPB mobilna aplikacija,83
UKRLYXS154BF,34,ZAPOSLEN,RAZVIJAJ PREMIUM,56.9,70.0,16.6,83.0,3,Hipotekarni kredit,"Stabilan klijent 10 god., prihodi 6,836€/mj.",Kamate 20-30 god.,Osobni savjetnik,81
ZV3A79H8VNKR,30,ZAPOSLEN,RAZVIJAJ PREMIUM,56.8,78.2,19.1,67.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
O12CCPXQPOSW,39,ZAPOSLEN,RAZVIJAJ PREMIUM,56.6,86.0,17.5,58.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
V2D4GM98BVA2,25,ZAPOSLEN,RAZVIJAJ PREMIUM,56.1,64.1,28.6,69.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
V2D4GM98BVA2,25,ZAPOSLEN,RAZVIJAJ PREMIUM,56.1,64.1,28.6,69.0,2,Hipotekarni kredit,"Stabilan klijent 11 god., prihodi 22,405€/mj.",Kamate 20-30 god.,Osobni savjetnik,84
VFR8QXZHC8ND,50,ZAPOSLEN,RAZVIJAJ PREMIUM,56.0,89.7,15.3,54.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
UA4TQAJL716E,27,ZAPOSLEN,RAZVIJAJ PREMIUM,56.0,88.7,15.6,55.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
V0RC64AQ05S5,38,ZAPOSLEN,RAZVIJAJ PREMIUM,55.8,77.2,28.8,49.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
ICPU2XENRLRO,28,ZAPOSLEN,SPASI PRIORITET,55.6,36.9,72.2,55.0,1,Intervencija bankara — osobni poziv,"Klijent 7 god. u HPB-u, CLV 37 — visoki churn rizik, potreban osobni kontakt",Retencija visoko vrijednog klijenta,Osobni poziv / sastanak u poslovnici,100
YZZ4X3SZ9WUE,24,ZAPOSLEN,RAZVIJAJ PREMIUM,55.4,68.2,20.7,73.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
47ANV3SAP5VJ,54,ZAPOSLEN,RAZVIJAJ PREMIUM,55.4,65.2,37.7,50.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
YZZ4X3SZ9WUE,24,ZAPOSLEN,RAZVIJAJ PREMIUM,55.4,68.2,20.7,73.0,2,Hipotekarni kredit,"Stabilan klijent 18 god., prihodi 7,703€/mj.",Kamate 20-30 god.,Osobni savjetnik,79
47ANV3SAP5VJ,54,ZAPOSLEN,RAZVIJAJ PREMIUM,55.4,65.2,37.7,50.0,2,Hipotekarni kredit,"Stabilan klijent 28 god., prihodi 28,585€/mj.",Kamate 20-30 god.,Osobni savjetnik,84
47ANV3SAP5VJ,54,ZAPOSLEN,RAZVIJAJ PREMIUM,55.4,65.2,37.7,50.0,3,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 20,264€",Stabilizacija pasive,HPB mobilna aplikacija,83
B806V8SGFW0K,56,ZAPOSLEN,RAZVIJAJ PREMIUM,55.3,83.4,19.0,54.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
9E3JF9YN3KHL,57,ZAPOSLEN,RAZVIJAJ PREMIUM,55.1,92.0,13.4,50.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
1HGMVYOAQBAG,58,ZAPOSLEN,RAZVIJAJ PREMIUM,55.0,82.6,30.8,35.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
XS6SIG3BGCI1,41,ZAPOSLEN,SPASI PRIORITET,55.0,31.4,72.4,60.0,1,Intervencija bankara — osobni poziv,"Klijent 18 god. u HPB-u, CLV 31 — visoki churn rizik, potreban osobni kontakt",Retencija visoko vrijednog klijenta,Osobni poziv / sastanak u poslovnici,100
XS6SIG3BGCI1,41,ZAPOSLEN,SPASI PRIORITET,55.0,31.4,72.4,60.0,2,Kredit — ponuda po mjeri,"Prihodi 9,689€/mj., bez aktivnog kredita — personalna kreditna ponuda kao retencijski alat",Dugoročni kreditni prihod,Osobni savjetnik,98
HR41598038BR,37,ZAPOSLEN,RAZVIJAJ PREMIUM,54.9,59.1,45.0,65.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
HM5HP3APJAEC,39,PODUZETNIK,RAZVIJAJ PREMIUM,54.7,37.9,56.2,76.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
FA12M3B2Q9DB,31,ZAPOSLEN,RAZVIJAJ PREMIUM,54.7,87.0,2.5,73.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
3JROHU2DNQXY,39,ZAPOSLEN,RAZVIJAJ PREMIUM,54.7,83.5,1.1,80.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
HM5HP3APJAEC,39,PODUZETNIK,RAZVIJAJ PREMIUM,54.7,37.9,56.2,76.0,2,Hipotekarni kredit,"Stabilan klijent 11 god., prihodi 19,538€/mj.",Kamate 20-30 god.,Osobni savjetnik,84
FA12M3B2Q9DB,31,ZAPOSLEN,RAZVIJAJ PREMIUM,54.7,87.0,2.5,73.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 8,164€",Stabilizacija pasive,HPB mobilna aplikacija,82
HM5HP3APJAEC,39,PODUZETNIK,RAZVIJAJ PREMIUM,54.7,37.9,56.2,76.0,3,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 4,297€",Stabilizacija pasive,HPB mobilna aplikacija,56
2AVEPGBN29AG,40,NEZAPOSLEN,RAZVIJAJ PREMIUM,54.6,79.3,18.4,58.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
X607UK7P00QH,44,ZAPOSLEN,RAZVIJAJ PREMIUM,54.4,79.2,13.5,65.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
7H5JWZL8GQ9Z,38,ZAPOSLEN,RAZVIJAJ PREMIUM,54.3,83.6,0.0,80.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
GXH3LD5OC9CO,53,ZAPOSLEN,RAZVIJAJ PREMIUM,54.2,78.4,11.2,69.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
9WHOT077QPN4,82,UMIROVLJENIK,ODRŽAVAJ,54.2,72.2,51.3,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 27 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
GXH3LD5OC9CO,53,ZAPOSLEN,RAZVIJAJ PREMIUM,54.2,78.4,11.2,69.0,2,Hipotekarni kredit,"Stabilan klijent 25 god., prihodi 24,757€/mj.",Kamate 20-30 god.,Osobni savjetnik,84
PD2ITL0F2K0Z,73,UMIROVLJENIK,ODRŽAVAJ,54.1,95.4,29.7,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 16 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
4CLZ8CWDZBFV,36,ZAPOSLEN,RAZVIJAJ PREMIUM,54.1,76.9,16.8,62.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
SLEAX4UK9941,28,ZAPOSLEN,RAZVIJAJ PREMIUM,53.8,34.0,52.2,84.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
PV4YD2E5D6EE,44,ZAPOSLEN,RAZVIJAJ PREMIUM,53.7,86.5,7.9,61.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
RL3AXUJ803AV,49,ZAPOSLEN,RAZVIJAJ PREMIUM,53.7,66.4,23.7,64.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
PV4YD2E5D6EE,44,ZAPOSLEN,RAZVIJAJ PREMIUM,53.7,86.5,7.9,61.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 4,592€",Stabilizacija pasive,HPB mobilna aplikacija,56
RL3AXUJ803AV,49,ZAPOSLEN,RAZVIJAJ PREMIUM,53.7,66.4,23.7,64.0,2,Hipotekarni kredit,"Stabilan klijent 28 god., prihodi 5,447€/mj.",Kamate 20-30 god.,Osobni savjetnik,72
865IEBSWOC5Q,26,ZAPOSLEN,RAZVIJAJ PREMIUM,53.5,83.5,11.2,59.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
XIGFFY6XJW9C,31,ZAPOSLEN,RAZVIJAJ PREMIUM,53.5,68.8,37.3,58.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
6EUFR8ZRA0F0,38,ZAPOSLEN,RAZVIJAJ PREMIUM,53.5,78.0,16.9,58.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
2JBV1TXWGFNG,28,ZAPOSLEN,RAZVIJAJ PREMIUM,53.4,85.7,6.7,63.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
GQBJK4JKGDOV,29,ZAPOSLEN,RAZVIJAJ PREMIUM,53.4,83.6,8.4,63.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
H0B3KRG1CQXG,51,ZAPOSLEN,RAZVIJAJ PREMIUM,53.4,75.7,32.7,35.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
JTKQH3ZDQFPD,48,ZAPOSLEN,RAZVIJAJ PREMIUM,53.4,92.2,13.9,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
JTKQH3ZDQFPD,48,ZAPOSLEN,RAZVIJAJ PREMIUM,53.4,92.2,13.9,42.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 4,558€",Stabilizacija pasive,HPB mobilna aplikacija,83
1QW4NV4ND2QU,50,ZAPOSLEN,RAZVIJAJ PREMIUM,53.2,89.1,8.8,54.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
1C9NA8LX0D37,39,ZAPOSLEN,RAZVIJAJ PREMIUM,53.1,87.6,6.1,60.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
